author:by, total:   17
author:dd, total:   17
author:tc, total:   17
author:ki, total:   17
author:we, total:   17
author:th, total:   17
author:ro, total:   17
author:hi, total:   17
author:cr, total:   17
author:ea, total:   17
author:ri, total:   17
author:in, total:   17
author:va, total:   17
author:sc, total:   17
author:ge, total:   17
author:dy, total:   17
author:br, total:   17
author:er, total:   17
author:dl, total:   17
author:pe, total:   16
author:jj, total:   16
author:do, total:   16
author:eo, total:   16
author:be, total:   16
author:re, total:   16
author:ah, total:   16
author:ls, total:   16
author:ju, total:   16
author:fu, total:   16
author:de, total:   16
author:eo, total:   16
author:to, total:   16
author:ze, total:   16
author:za, total:   16
author:jc, total:   16
author:ho, total:   16
author:mr, total:   16
author:sw, total:   16
author:ni, total:   16
author:bl, total:   16
author:He, total:   16
author:pa, total:   16
author:ol, total:   16
author:id, total:   16
author:ga, total:   15
author:sk, total:   15
author:la, total:   15
author:au, total:   15
author:ou, total:   15
author:is, total:   15
author:da, total:   15
author:su, total:   15
author:sc, total:   15
author:sm, total:   15
author:dk, total:   15
author:kn, total:   15
author:ko, total:   15
author:do, total:   15
author:qn, total:   15
author:kk, total:   15
author:rh, total:   15
author:te, total:   15
author:se, total:   15
author:ru, total:   15
author:dr, total:   15
author:br, total:   15
author:no, total:   15
author:ro, total:   15
author:bo, total:   15
author:ch, total:   15
author:do, total:   15
author:kn, total:   15
author:62, total:   15
author:si, total:   15
author:su, total:   15
author:db, total:   15
author:sh, total:   15
author:ai, total:   15
author:sc, total:   15
author:pe, total:   15
author:st, total:   15
author:ha, total:   15
author:gr, total:   15
author:qw, total:   15
author:hy, total:   15
author:cr, total:   15
author:bu, total:   15
author:ye, total:   15
author:so, total:   15
author:ma, total:   15
author:re, total:   15
author:er, total:   15
author:el, total:   14
author:dk, total:   14
author:lu, total:   14
author:ju, total:   14
author:ra, total:   14
author:ic, total:   14
author:pp, total:   14
author:eo, total:   14
author:to, total:   14
author:nb, total:   14
author:op, total:   14
author:ss, total:   14
author:ca, total:   14
author:hs, total:   14
author:sh, total:   14
author:le, total:   14
author:xx, total:   14
author:mj, total:   14
author:pt, total:   14
author:bs, total:   14
author:ps, total:   14
author:ma, total:   14
author:ho, total:   14
author:fo, total:   14
author:fi, total:   14
author:Je, total:   14
author:r3, total:   14
author:gu, total:   14
author:in, total:   14
author:la, total:   14
author:go, total:   14
author:wc, total:   14
author:yu, total:   14
author:ma, total:   14
author:ZA, total:   14
author:ga, total:   14
author:el, total:   14
author:ta, total:   14
author:cu, total:   13
author:bl, total:   13
author:tr, total:   13
author:Lo, total:   13
author:en, total:   13
author:ic, total:   13
author:ze, total:   13
author:mi, total:   13
author:su, total:   13
author:kk, total:   13
author:jw, total:   13
author:pa, total:   13
author:bs, total:   13
author:ma, total:   13
author:tr, total:   13
