author:pco, total:    8
author:bra, total:    8
author:dkd, total:    8
author:mit, total:    8
author:the, total:    8
author:sin, total:    8
author:gun, total:    8
author:ehd, total:    8
author:ksl, total:    8
author:mis, total:    8
author:you, total:    8
author:zen, total:    8
author:flu, total:    8
author:kwc, total:    8
author:jy8, total:    8
author:tok, total:    8
author:jin, total:    8
author:sbr, total:    8
author:tod, total:    8
author:eck, total:    8
author:soo, total:    8
author:ppa, total:    8
author:lao, total:    8
author:caf, total:    8
author:sun, total:    8
author:KEs, total:    8
author:elo, total:    8
author:win, total:    8
author:rla, total:    8
author:uni, total:    8
author:kwj, total:    8
author:ash, total:    8
author:dar, total:    8
author:sep, total:    8
author:tea, total:    8
author:cod, total:    8
author:kis, total:    8
author:gri, total:    8
author:pro, total:    8
author:dic, total:    8
author:sfc, total:    8
author:lba, total:    8
author:rea, total:    8
author:bor, total:    8
author:del, total:    8
author:lyc, total:    7
author:pyo, total:    7
author:hah, total:    7
author:isa, total:    7
author:joj, total:    7
author:tae, total:    7
author:bab, total:    7
author:yjs, total:    7
author:get, total:    7
author:cjb, total:    7
author:gra, total:    7
author:clu, total:    7
author:2ar, total:    7
author:blo, total:    7
author:roo, total:    7
author:hye, total:    7
author:dsl, total:    7
author:hal, total:    7
author:spo, total:    7
author:ava, total:    7
author:dx1, total:    7
author:iso, total:    7
author:kai, total:    7
author:len, total:    7
author:ise, total:    7
author:pea, total:    7
author:twe, total:    7
author:ssi, total:    7
author:vad, total:    7
author:mbc, total:    7
author:pur, total:    7
author:tin, total:    7
author:hsm, total:    7
author:fre, total:    7
author:tru, total:    7
author:zep, total:    7
author:bae, total:    7
author:red, total:    7
author:coo, total:    7
author:ele, total:    7
author:pr0, total:    7
author:cer, total:    7
author:aur, total:    7
author:dog, total:    7
author:top, total:    7
author:pee, total:    7
author:kim, total:    7
author:ins, total:    7
author:ko_, total:    7
author:mgw, total:    7
author:yao, total:    7
author:zon, total:    7
author:mon, total:    7
author:opy, total:    7
author:lov, total:    7
author:yyj, total:    7
author:nud, total:    7
author:ell, total:    7
author:pau, total:    7
author:car, total:    7
author:lac, total:    7
author:san, total:    7
author:pon, total:    7
author:amd, total:    7
author:soa, total:    7
author:eti, total:    7
author:pj5, total:    7
author:bus, total:    7
author:new, total:    7
author:sha, total:    7
author:top, total:    7
author:han, total:    7
author:lsm, total:    7
author:dea, total:    7
author:fla, total:    7
author:fos, total:    7
author:pru, total:    7
author:sun, total:    7
author:p01, total:    7
author:nfr, total:    7
author:bal, total:    7
author:got, total:    7
author:mor, total:    7
author:ben, total:    7
author:tom, total:    7
author:en_, total:    7
author:heh, total:    7
author:kms, total:    7
author:hsd, total:    7
author:98h, total:    7
author:tru, total:    7
author:phz, total:    7
author:wao, total:    7
author:kyy, total:    7
author:jun, total:    7
author:pee, total:    7
author:lux, total:    7
author:des, total:    7
author:jun, total:    7
author:sdf, total:    7
author:qkt, total:    7
author:dng, total:    7
author:sat, total:    7
author:eps, total:    7
author:hsn, total:    7
author:fre, total:    7
author:beo, total:    7
author:yhf, total:    7
author:cru, total:    7
author:bsc, total:    7
author:jn2, total:    7
author:win, total:    7
author:jyh, total:    7
author:moo, total:    7
author:red, total:    7
author:dye, total:    6
author:jae, total:    6
author:jb0, total:    6
author:eul, total:    6
author:amb, total:    6
author:sld, total:    6
author:jaz, total:    6
author:dar, total:    6
author:kom, total:    6
author:vir, total:    6
author:ppp, total:    6
author:sup, total:    6
author:ims, total:    6
author:lem, total:    6
author:hah, total:    6
author:sng, total:    6
author:bum, total:    6
author:pnk, total:    6
author:wun, total:    6
author:ket, total:    6
author:abc, total:    6
author:cyt, total:    6
author:hmj, total:    6
author:ni7, total:    6
author:hth, total:    6
author:rai, total:    6
author:lee, total:    6
author:sin, total:    6
author:dbr, total:    6
author:c33, total:    6
author:tan, total:    6
author:blu, total:    6
author:ung, total:    6
author:san, total:    6
author:sti, total:    6
author:jos, total:    6
author:ash, total:    6
author:sop, total:    6
author:kim, total:    6
author:nap, total:    6
author:dar, total:    6
author:hwa, total:    6
author:drk, total:    6
author:gwa, total:    6
author:wys, total:    6
author:res, total:    6
author:sha, total:    6
author:lic, total:    6
author:kgm, total:    6
author:alt, total:    6
author:fiv, total:    6
author:ang, total:    6
author:jun, total:    6
author:spa, total:    6
author:yon, total:    6
author:sco, total:    6
author:cbr, total:    6
author:qkq, total:    6
author:rai, total:    6
author:old, total:    6
author:abc, total:    6
author:nah, total:    6
author:epr, total:    6
author:sah, total:    6
author:joy, total:    6
author:jzs, total:    6
author:nag, total:    6
author:air, total:    6
author:ch5, total:    6
author:zz3, total:    6
author:jun, total:    6
author:law, total:    6
author:lin, total:    6
author:rok, total:    6
author:mo8, total:    6
author:gst, total:    6
author:khg, total:    6
author:coo, total:    6
author:neo, total:    6
author:wal, total:    6
author:mia, total:    6
author:min, total:    6
author:jin, total:    6
author:kok, total:    6
author:art, total:    6
author:gar, total:    6
author:han, total:    6
author:mad, total:    6
author:hor, total:    6
author:seu, total:    6
author:lal, total:    6
author:per, total:    6
author:yur, total:    6
author:alf, total:    6
author:fid, total:    6
author:koo, total:    6
author:shi, total:    6
author:goj, total:    6
author:kim, total:    6
author:unf, total:    6
author:KMS, total:    6
author:kon, total:    6
author:chb, total:    6
author:ele, total:    6
author:cri, total:    6
author:sop, total:    6
author:two, total:    6
author:phy, total:    6
author:ala, total:    6
author:jwk, total:    6
author:gog, total:    6
author:guy, total:    6
author:100, total:    6
author:jav, total:    6
author:pea, total:    6
author:un3, total:    6
author:chi, total:    6
author:juy, total:    6
author:ohj, total:    6
author:mke, total:    6
author:tra, total:    6
author:tui, total:    6
author:pur, total:    6
author:kdh, total:    6
author:han, total:    6
author:pca, total:    6
author:neo, total:    6
author:and, total:    6
author:ear, total:    6
author:roo, total:    6
author:bsi, total:    6
author:yuy, total:    6
author:fil, total:    6
author:ptc, total:    6
author:skt, total:    6
author:rey, total:    6
author:hal, total:    6
author:ell, total:    6
author:daw, total:    6
author:san, total:    6
author:bae, total:    6
author:ojw, total:    6
author:jih, total:    6
author:zeh, total:    6
author:kut, total:    6
author:mnp, total:    6
author:ank, total:    6
author:att, total:    6
author:the, total:    6
author:omy, total:    6
author:con, total:    6
author:par, total:    6
author:blu, total:    6
author:hdk, total:    6
author:new, total:    6
author:iii, total:    6
author:era, total:    6
author:usa, total:    6
author:app, total:    6
author:wea, total:    6
author:gra, total:    6
author:gus, total:    6
author:myl, total:    6
author:hin, total:    6
author:kor, total:    6
author:no3, total:    6
author:gen, total:    6
author:ido, total:    6
author:dra, total:    6
author:cle, total:    6
author:lns, total:    6
author:blo, total:    6
author:sol, total:    6
author:per, total:    6
author:hsh, total:    6
author:guh, total:    6
author:sko, total:    5
author:col, total:    5
author:blk, total:    5
author:9ha, total:    5
author:boo, total:    5
author:ezk, total:    5
author:fre, total:    5
author:o0o, total:    5
author:bad, total:    5
author:red, total:    5
author:bri, total:    5
author:how, total:    5
author:jsk, total:    5
author:mar, total:    5
author:te8, total:    5
author:leg, total:    5
author:bra, total:    5
author:app, total:    5
author:qkr, total:    5
author:asu, total:    5
author:the, total:    5
author:tpe, total:    5
author:blu, total:    5
author:swa, total:    5
author:shi, total:    5
author:ady, total:    5
author:koo, total:    5
author:amo, total:    5
author:joy, total:    5
author:non, total:    5
author:bbq, total:    5
author:lig, total:    5
author:ben, total:    5
author:pap, total:    5
author:sly, total:    5
author:st2, total:    5
author:jiy, total:    5
author:ojt, total:    5
author:ots, total:    5
author:ski, total:    5
author:edp, total:    5
author:sob, total:    5
author:kjd, total:    5
author:nec, total:    5
author:cap, total:    5
author:sup, total:    5
author:bay, total:    5
author:one, total:    5
author:lim, total:    5
